Jobs,CTP Procssed,Plate Received,Material Cost,Plotter Exp,No. of Die ,Die Cost,Block Cost,Positive Prep ,Positive Prep Cost,Printing Que,Printing(Outsource),Lami,Foiling,Foiling Cost,Corrugation,Corrougation Cost,Double Pasting,Total
TCB-10187-A,188,1,21908,300,3,2600,,,,,,,,,,,,24996
TCB-9880-A,2256,12,19321,100,1,1000,,,,,,,,,,,,22677
TCB-10198-A,188,1,1234,100,1,1500,,,,,,,,,,,,3022
TCB-10143-A,1114,2,34304,100,1,500,10997,,1704,,,,,,,,,48719
TCB-10214-A,2000,2,4841,0,1,800,,,,,,,,,,,,7641
TCB-10238-A,752,4,2235,100,1,1000,,,,,,,,,,,,4087
TCB-10243-A,1128,6,4185,200,2,1000,,,,,,,,,,,,6513
TCB-10246-A,557,1,14605,100,1,1200,,,,,,,,,,,,16462
TCB-10090-A,376,2,39523,100,1,700,,,200,,,,,,,,,40899
TCB-10202-A,564,3,15836,100,2,2400,,,,,,,,,,,,18900
TCB-10139-S,1114,2,3702,100,1,1800,1417,,935,,,,,,,,,9068
TCB-10186-A,1128,6,1502,100,1,700,,,,,,,,,,,,3430
TCB-9966-A,3342,6,299197,100,1,1200,,,,,,,,,,,,303839
TCB-10263-A,752,4,5775,100,1,500,,,,,,,,,,,,7127
TCB-10098-A,564,3,35052,100,1,1400,,,,,7000,,,,,,,44116
TCB-10116-A,1504,8,26070,200,2,1000,,,,,,,,,,,,28774
TCB-10257-A,1671,3,23368,100,1,1300,,,,,,,,,,,,26439
TCB-9727-A,4000,4,86498,100,1,1200,,,,,21000,,,,,16900,,129698
TCB-10109-A,2820,15,46945,100,1,1400,,,,,,,,,,,,51265
TCB-10120-A,3000,3,81372,800,8,4500,8710,,1210,,,,,,,,,99592
TCB-10168-A,1128,6,10669,200,1,1800,,,,,,,,,,,,13797
TCB-10144-A,940,5,14000,200,2,1600,,,,,,,,,,,,16740
TCB-10217-A,1128,6,15648,100,1,1000,354,,200,,,,,,,,,18430
TCB-8267A-S,752,4,7040,300,4,3000,,,,,,,,,,,,11092
TCB-9858-A,3948,21,19560,300,3,1800,,,,,,,,,,,,25608
TCB-10101-R,376,2,15231,100,1,1600,,,,,,,,,,,,17307
TCB-10233-A,564,3,2912,100,1,500,,,,,,,,,,,,4076
TCB-10241-A,752,4,3282,100,1,700,,,,,,,,,,,,4834
TCB-10244-A,4000,4,14084,100,1,1900,,,,,11000,,,,,3250,,34334
TCB-10247-A,564,3,28730,100,1,1600,,,,,,,,,,,,30994
TCB-10221-A,188,1,21981,0,1,500,,,,,,,,,,,,22669
TCB_10258-A,2068,11,15074,100,2,1300,,,,,,,,,,,,18542
TCB-10255-A,356,3,6825,100,1,600,,,,,,,,,,,,7881
TCB-10262-A,188,1,4573,100,1,500,,,,,,,,,,,,5361
TCB-10267-A,1504,8,13771,100,1,1000,,,,,,,,,,,,16375
TCB-10266-A,752,4,18778,100,1,1200,,,,,,,,,,,,20830
TCB-10268-A,376,2,5335,200,2,1600,,,,,,,,,,,,7511
TCB-10216-A,376,2,4185,100,1,600,,,,,,,,,,,,5261
TCB-10229-A,188,1,6259,100,1,3200,,,,,,,,,,,,9747
TCB-10270-A,376,2,4695,100,1,800,,,,,,,,,,,,5971
TCB-10285-A,188,1,11308,100,1,1200,,,,,,,,,,,,12796
TCB-10176-S,557,1,1037,300,3,4800,,,,,,,,,,,,6694
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
