TCB-9121-A,3342,6,,11381,1500,,,,,,,,,,,,
TCB-9507-P,1504,8,,2504,1900,,,,,,,,,,,,
TCB-9511-A,1114,2,,38374,1500,,,,,,,,,,9120,,
TCB-9528-A,0,Nil,,1725,0,,,,,,,,,,,,
TCB-9394-A,1114,2,,48472,2200,,,,,,,,,,12768,,
TCB-9530-A,0,0,,3725,0,,,,,,,,,,,,
TCB-9095-A,3342,6,,21339,1900,,,,,,,,,,,,
TCB-9198-A,5940,9,,37725,3700,,,,,,,,,,,,
TCB-9489-A,2228,4,,11950,3200,,,,,,,,,,8550,,
TCB-9491-A,940,5,,2108,1200,,,,,,,,,,,,
TCB-9493-A,1128,6,,5362,1700,,,,,,,,,,,,
TCB-9529-A,564,3,,6249,2400,,,,,,,,,,,,
TCB-9533-A,3899,7,,23019,2200,,,,,,,,,,,,
TCB-9542-A,0,Old,,61391,0,,,,,,,,,,,,
TCB-9546-A,188,1,,8468,900,,,,,,,,,,,,
TCB-9551-A,4000,4,,22863,1900,,,,,,,,,,14364,,
TCB-9552-A,752,4,,6351,1300,,,,,,,,,,,,
TCB_9548-A,940,5,,4039,1400,,,,,,,,,,,,
TCB-8703-R,0,Old,,11715,0,,,,,,,,,,,,
TCB-9013-P,1692,9,,10161,1400,,,,,,,,,,,,
TCB-9316-R,1128,6,,3266,750,,,,,,,,,,,,
TCB-9464-A,564,3,,12549,1200,,,,,,,,,,,,
TCB-9496-A,376,2,,1998,600,,,,,,,,,,,,
TCB-9525-A,37863,59,,129291,12100,,,,,,,,,,,,
TCB-9539-A,3785,7,,14209,1200,,,,,,,,,,5016,,
TCB-9543-A,2228,4,,13738,1200,,,,,,,,,,,,
TCB-9549-A,188,1,,645,300,,,,,,,,,,,,
TCB-9553-A,4000,4,,10334,2200,,,,,,,,,,1596,,
TCB-9556-A,0,Old,,3005,0,,,,,,,,,,,,
TCB-9557-A,564,3,,2714,400,,,,,,,,,,,,
TCB-9559-A,1128,6,,31560,2600,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,
," 311,021 ",,," 3,836,645 "," 295,916 "," 98,593 ", -   ," 11,892 ", -   ," 130,500 ", -   , -   ," 117,760 ", -   ," 254,219 "," 4,800 ",
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Quantity,Amount ,,,,,,,,,,,
,,,,,20,172635,,,,,,,,,,,
,,,,,29,368500,,,,,,,,,,,
,,,,,93,139200,,,,,,,,,,,
,,,,,272,8160,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
