TCB-11204-A,410,2,6414,150,1,1200,1211,,,650,,1500,,10035
TCB-10863-S,5524,12,16564,450,3,3600,,,,,,,,26138
TCB-11217-A,19552,20,6179,150,1,1400,,,,,,16700,,27281
TCB-10979-A,2352,4,41596,300,3,3200,2286,,,,,16900,,49734
TCB-11118-A,410,2,8430,150,1,1400,1452,,,,,,,11842
TCB-11145-A,820,4,2709,150,1,400,,,,,,,,4079
TCB-11157-A,1025,5,36896,300,2,1400,,,,,,,,39621
TCB-11190-A,410,2,9877,150,1,1400,,,,,,,,11837
TCB-11196-A,615,3,7471,100,1,900,,,,,,,,9086
TCB-11199-A,410,2,28466,150,1,800,,,,,4200,,1450,35476
TCB-11029-A,410,2,18521,300,2,3400,,,,,6781,2100,4000,33412
TCB-11176-A,1845,9,33539,600,4,4400,1093,800,,2500,9000,,7000,60777
TCB-11185-A,1025,5,8603,150,1,2400,3180,300,,900,,26600,,16558
TCB-11106-A,1230,4,488578,450,3,3800,,,,,,,,494058
TCB-11065-P,1640,8,19440,0,1,1000,1101,,,1800,,,,24981
TCB-11200-A,410,2,16995,150,1,800,,,,,,,,18355
TCB-11221-A,820,4,6628,150,1,600,,,,,,,,8198
TCB-11067-A,410,2,5524,150,1,600,1316,,,1200,,1400,,9200
TCB-11198-A,820,4,13192,150,1,800,,,,,,1300,,14962
TCB-11210-A,615,3,1320,150,1,300,,,,,,,,2385
TCB-11078-A,1025,5,3612,150,1,800,1912,600,,,70400,,2600,81099
TCB-11215-P,205,1,15856,150,1,1200,,,,,,,,17411
TCB-10487-A,820,4,3028,150,1,1200,,,,,,1400,,5198
TCB-11123-A,1025,5,14341,100,1,800,,,,,,,,16266
TCB-10332-A,1230,6,28123,400,4,4400,455,1511,,,,,,36119
TCB-11173-A,8286,18,96785,200,2,5200,,,,,,,,110471
TCB-11218-A,810,4,4985,150,1,600,,,,,,,,6545
TCB-11224-A,820,4,1759,150,1,800,,,,,,,,3529
TCB-11105-A,6450,6,168018,600,2,5000,19012,,42500,820,,,,242400
TCB-11105-P,6450,6,102715,0,2,4000,,,,,,,,113165
TCB-10939-A,1075,1,22187,150,1,600,,,2000,,7100,,3100,36212
TCB-11222A-A,1176,2,69391,300,2,2200,,,,,,,,73067
TCB-11234-A,410,2,1759,150,1,800,,,,,,,,3119
TCB-11154-A,2352,4,16355,450,3,3800,,,,4600,,,,27557
TCB-11187-A,17200,16,66691,150,1,900,,,32000,,14160,,15000,146101
TCB-10980-S,2460,12,3085,450,3,3000,2756,500,,200,,,,12451
TCB-9953-A,820,4,17332,150,1,1200,,,,700,,,,20202
TCB-11214-A,205,1,11168,150,1,500,1068,300,,1500,,,,14891
TCB-Kw12661,588,1,844,150,1,800,,,,,,,,2382
TCB-10181-R,588,1,20938,0,0,0,,,,,,,,21526
TCB-10969-R,410,2,6070,0,0,0,,,,,,,,6480
TCB-11220-A,820,4,1478,150,1,600,,,,,,,,3048
TCB-11229-A,410,2,4442,150,1,600,,,,,,,,5602
TCB-11231-A,1176,2,50581,150,1,2000,,,,,,,,53907
TCB-11232-A,564,3,707,150,1,600,,,,,,,,2021
TCB-11240-A,564,3,8867,100,1,1200,,,,,,,,10731
TCB-11246-A,410,2,166259,150,1,800,,,,,,,,167619
