Jobs,CTP Procssed,Plate Received,Material Cost,Plotter Exp,No. of Die ,Die Cost,Block Cost,Positive Prep ,Positive Prep Cost,Printing Que,Printing(Outsource),Lami,Foiling,Foiling Cost,Corrugation,Corrougation Cost,Double Pasting,Total
TCB-9976-A,1114,2,24997,300,2,2000,,,,,,,,,,,,28411
TCB-10002-A,2068,11,14592,100,1,1000,,,200,,,,,,,,,17960
TCB-9986-A,1671,3,8414,100,1,1200,,,,,,,,,,,,11385
TCB-9987-A,376,2,1509,100,1,1000,,,,,,,,,,,,2985
TCB-10018-A,752,4,33654,100,1,500,,,,,,,,,,,,35006
TCB-9925-A,2228,4,26289,100,1,600,,,,,,,,,,,,29217
TCB-9830-A,1000,1,48105,100,3,2600,,,,,,,,,,,,51805
TCB-9989-A,557,1,10433,100,2,2400,,,,,,,,,,,,13490
TCB-10001-A,564,3,12519,300,1,1600,,,,,,,,,,,,14983
TCB-10007-A,1504,8,2644,100,3,1600,,,,,,,,,,,,5848
TCB-10021-A,188,1,6097,100,1,1200,1000,,368,,,,,,,,,8953
TCB-10022-A,940,5,16154,100,1,1200,,,,,,,,,,,,18394
TCB-9947-A,557,1,38105,200,2,1700,,,,,,,,,,,,40562
TCB-9968-P,0,OLD,45563,100,2,3200,,,,,,,,,,,,48863
TCB-9727-S,4000,4,20617,200,4,11000,,,,,14000,,,,,,,49817
TCB-9933-A,2228,4,24387,100,1,1000,,,,,,,,,,,,27715
TCB-9923-A,2228,4,11218,100,1,1200,,,,,,,,,,,,14746
TCB-9994-A,6000,6,34142,100,1,2600,,,,,12750,,,,,,,55592
TCB-9631-R,0,OLD,4562,0,old,0,,,,,,,,,,,,4562
TCB-9988-A,752,4,8414,100,1,600,,,,,,,,,,,,9866
TCB-9013-A,4888,26,12901,400,1,1200,,,,,,,,,,,,19389
TCB-10028-A,8369,19,35535,100,1,1600,,,2218,,,,,,,,,47822
TCB-9799-A,940,5,7212,100,2,1000,,,,,,,,,,,,9252
TCB-10039-A,188,1,4808,100,1,600,,,,,,,,,,,,5696
TCB-10042-A,5584,14,3606,100,1,400,,,,,,,,,,,,9690
TCB-10014-A,5570,10,16827,200,2,3200,,,,,,,,,,,,25797
TCB-10032-A,2228,4,9145,100,1,1200,,,,,,,,,,,,12673
TCB-9852-R,0,OLD,3780,0,old,0,,,,,,,,,,,,3780
TCB-9926-A,188,1,993,100,1,400,,,400,,,,,,,,,2081
TCB-10011-A,376,2,15808,100,1,1600,,,,,,,,,,,,17884
TCB-10026-A,940,5,12194,100,1,1200,,,,,,,,,,,,14434
TCB-9971-A,752,4,4268,100,1,1000,,,,,,,,,,,,6120
TCB-10049-A,188,1,10342,100,1,1200,,,,,,,,,,,,11830
TCB-9967-A,7000,7,69503,200,2,3200,,,,,29500,,,,,,,109403
TCB-9958-A,4456,8,51603,100,1,1800,,,,,,,,,,,,57959
TCB-9995-A,564,3,8347,100,1,1200,,,,,,,,,,,,10211
TCB-9996-A,188,1,8234,100,1,1200,,,,,,,,,,,,9722
TCB-9997-A,752,4,2177,100,1,800,,,,,,,,,,,,3829
TCB-9895-A,2632,14,3140,200,3,2700,,,,,,,,,,,,8672
TCB-9934-A,1000,5,10265,100,1,1200,,,,,,,,,,,,12565
TCB-10033-A,940,5,7837,100,1,1400,,,256,,,,,,,,,10533
TCB-10043-A,5013,9,81290,300,3,4000,,,,,,,,,,,,90603
TCB-10038-A,4700,25,138600,300,5,5600,,,,,,,,,,,,149200
TCB-7444-P,0,OLD,20903,300,3,2100,,,,,,,,,,,,23303
TCB-9896-A,2785,5,8414,100,1,1200,,,,,,,,,,,,12499
TCB-10008-A,188,1,975,100,1,1000,,,,,,,,,,,,2263
TCB-10061-A,557,1,1777,100,2,2400,,,,,,,,,,,,4834
TCB-10067-A,188,1,1515,100,1,1000,,,,,,,,,,,,2803
TCB-10083-A,1000,1,2195,0,2,1100,,,,,,,,,,,,4295
TCB-10024-A,940,5,2019,0,1,400,,,,,,,,,,,,3359
TCB-10035-A,8000,8,36581,100,1,2500,,,,,14000,,,,,,,61181
TCB_10069-A,188,1,679,0,1,400,,,,,,,,,,,,1267
TCB-10065-A,367,2,1515,100,1,400,,,,,,,,,,,,2382
TCB-10081-A,752,4,3083,100,1,600,,,,,,,,,,,,4535
TCB-9990-A,2228,4,19231,100,1,1400,,,,,,,,,,,,22959
TCB-10013-A,188,1,5888,200,2,1700,,,200,,,,,,,,,8176
TCB-10048-A,940,5,21593,100,1,1400,,,,,,,,,,,,24033
TCB-10041-A,752,4,1298,100,1,800,,,,,,,,,,,,2950
TCB-9927-A,564,3,10751,500,5,3000,,,,,,,,,,,,14815
TCB-10064-A,1000,1,3810,100,1,600,,,,,,,,,,,,5510
TCB-10062-A,188,1,9755,100,1,1000,,,,,,,,,,,,11043
TCB-10010-A,564,3,25403,0,1,900,,,,,,,,,,,,26867
TCB-10017-A,940,5,43694,100,1,1200,,,,,,,,,,,,45934
TCB-10034-A,2061,9,20323,100,1,2400,,,1217,,,,,,,,,26101
TCB-10057-A,188,1,12194,0,2,1400,,,,,15000,,,,,,,28782
TCB-10066-A,933,9,32998,300,3,1800,,,,,,,,,,,,36031
TCB_10080-A,557,1,12172,100,1,1200,,,,,,,,,,,,14029
TCB-9861-R,0,OLD,3000,500,5,3600,,,,,,,,,,,,7100
TCB-9975-A,1114,2,49658,700,7,6400,500,,,,6000,,,,,,,64372
TCB-10052-A,188,1,12702,100,1,600,,,400,,,,,,,,,13990
TCB-10009-A,1228,6,66147,200,8,4400,,,,,,,,,,,,71975
TCB-10056-A,4000,4,10817,100,1,800,,,,,,,,,,,,15717
TCB-9955-A,1316,7,45046,400,4,6000,,,,,,,,,,,,52762
TCB-10073-A,564,3,3501,100,1,1200,,,,,,,,,,,,5365
TCB-10084-A,557,1,11218,100,1,1200,,,,,,,,,,,,13075
TCB-10101-A,376,2,9511,100,1,1400,,,,,,,,,,,,11387
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,0
," 287,625 ",," 3,591,297 "," 24,500 ",," 260,124 "," 36,121 ", -   ," 22,374 ", -   ," 152,250 ", -   , -   , -   , -   ," 93,981 ", -   ,5063969
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Itmes,Quantity,Amount ,,,,,,,,,,,
,,,,,Lam. Roll,9,6300,,,,,,,,,,,
,,,,,Glue Drum,23,345000,,,,,,,,,,,
,,,,,Foiling Roll,29,44950,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
